group_column,group_value,n_rows,next_day_n,next_day_mae,next_day_rmse,next_day_bias,next_day_mean_error,next_day_median_abs_error,next_day_error_std,flare_n,flare_positive_rate,flare_accuracy,flare_roc_auc
hidden_subtype,0,1320,295,0.14349189643106627,0.18102186438514858,-0.012880186857242168,-0.012880186857242168,0.11137357802879558,0.18056305317533167,295,0.24067796610169492,0.5084745762711864,0.545145875251509
hidden_subtype,1,1740,590,0.13644497956873206,0.17177687707074246,-0.007766209131182991,-0.007766209131182991,0.10753355268802664,0.17160122811887943,590,0.25084745762711863,0.5898305084745763,0.6371377033141739
hidden_subtype,2,1740,295,0.12270178134394136,0.15617367019287165,0.028506653810150814,0.028506653810150814,0.10112557213127171,0.15354994610894548,295,0.25084745762711863,0.5389830508474577,0.4998165586400881
true_regime,balanced,1638,370,0.08900666061735782,0.10565220905758699,0.07348840122075948,0.07348840122075948,0.08464169452708599,0.0759068123738887,370,0.1891891891891892,0.8108108108108109,0.4651904761904762
true_regime,digestive_instable,421,104,0.12088170232407158,0.14765430150388362,0.05162299215451935,0.05162299215451935,0.09755349215604911,0.13833603808702274,104,0.20192307692307693,0.20192307692307693,0.4216867469879518
true_regime,inflammatory,493,117,0.11343501124734044,0.14832204773984758,0.024307089115528754,0.024307089115528754,0.09587376480600082,0.14631676344312491,117,0.20512820512820512,0.4188034188034188,0.5049283154121864
true_regime,recovery,510,137,0.09597960588624761,0.11846075237763443,0.06434906892649041,0.06434906892649041,0.08417698243190111,0.09945927398774337,137,0.17518248175182483,0.8248175182481752,0.42772861356932157
true_regime,stressed_recoverable,748,204,0.11441732746275568,0.1401999786943954,0.04847529681202648,0.04847529681202648,0.09985538286749064,0.13155295369126024,204,0.23529411764705882,0.3284313725490196,0.5397970085470085
true_regime,stuck_agitated,522,105,0.2445987221113149,0.26827469746462773,-0.20858761930797912,-0.20858761930797912,0.26415941616773025,0.16870838263455407,105,0.4380952380952381,0.42857142857142855,0.5445836403831983
true_regime,stuck_depleted,468,143,0.2662965627455129,0.28738647676000784,-0.22502634729931864,-0.22502634729931864,0.293938312159132,0.1787571818016187,143,0.4195804195804196,0.43356643356643354,0.4248995983935743
attractor_state,0,3810,932,0.10221716587433771,0.12645610632488702,0.058056021518079905,0.058056021518079905,0.09008219506775804,0.11234164496010987,932,0.20064377682403434,0.5901287553648069,0.5144097907619424
attractor_state,1,990,248,0.2571099769931307,0.27945438661345295,-0.21806640198040475,-0.21806640198040475,0.28927959552698357,0.17476211982240822,248,0.4274193548387097,0.4314516129032258,0.4791389848525112
