distribution,tcm_like_label,hidden_subtype,count,row_fraction,entropy,normalized_entropy
tcm_like_label_to_hidden_subtype,damp_heat_like,0,55,0.4661016949152542,1.5226934997500345,0.9607126345621494
tcm_like_label_to_hidden_subtype,damp_heat_like,1,36,0.3050847457627119,1.5226934997500345,0.9607126345621494
tcm_like_label_to_hidden_subtype,damp_heat_like,2,27,0.2288135593220339,1.5226934997500345,0.9607126345621494
tcm_like_label_to_hidden_subtype,liver_qi_stagnation_like,0,62,0.3803680981595092,1.5021089235741805,0.9477252129881449
tcm_like_label_to_hidden_subtype,liver_qi_stagnation_like,1,30,0.18404907975460122,1.5021089235741805,0.9477252129881449
tcm_like_label_to_hidden_subtype,liver_qi_stagnation_like,2,71,0.43558282208588955,1.5021089235741805,0.9477252129881449
tcm_like_label_to_hidden_subtype,mixed_pattern_like,0,1500,0.42686397268070575,1.5549024860294418,0.9810342423382024
tcm_like_label_to_hidden_subtype,mixed_pattern_like,1,1089,0.30990324416619236,1.5549024860294418,0.9810342423382024
tcm_like_label_to_hidden_subtype,mixed_pattern_like,2,925,0.2632327831531019,1.5549024860294418,0.9810342423382024
tcm_like_label_to_hidden_subtype,spleen_qi_deficiency_like,0,468,0.48,1.5114651842173839,0.9536283562101115
tcm_like_label_to_hidden_subtype,spleen_qi_deficiency_like,1,218,0.2235897435897436,1.5114651842173839,0.9536283562101115
tcm_like_label_to_hidden_subtype,spleen_qi_deficiency_like,2,289,0.2964102564102564,1.5114651842173839,0.9536283562101115
tcm_like_label_to_hidden_subtype,yin_deficiency_like,0,15,0.5,1.4983958159908184,0.94538250293559
tcm_like_label_to_hidden_subtype,yin_deficiency_like,1,7,0.23333333333333334,1.4983958159908184,0.94538250293559
tcm_like_label_to_hidden_subtype,yin_deficiency_like,2,8,0.26666666666666666,1.4983958159908184,0.94538250293559
hidden_subtype_to_tcm_like_label,damp_heat_like,0,55,0.02619047619047619,1.1679882881430714,0.5030251758074925
hidden_subtype_to_tcm_like_label,liver_qi_stagnation_like,0,62,0.029523809523809525,1.1679882881430714,0.5030251758074925
hidden_subtype_to_tcm_like_label,mixed_pattern_like,0,1500,0.7142857142857143,1.1679882881430714,0.5030251758074925
hidden_subtype_to_tcm_like_label,spleen_qi_deficiency_like,0,468,0.22285714285714286,1.1679882881430714,0.5030251758074925
hidden_subtype_to_tcm_like_label,yin_deficiency_like,0,15,0.007142857142857143,1.1679882881430714,0.5030251758074925
hidden_subtype_to_tcm_like_label,damp_heat_like,1,36,0.02608695652173913,0.9861553943186736,0.42471401095067607
hidden_subtype_to_tcm_like_label,liver_qi_stagnation_like,1,30,0.021739130434782608,0.9861553943186736,0.42471401095067607
hidden_subtype_to_tcm_like_label,mixed_pattern_like,1,1089,0.7891304347826087,0.9861553943186736,0.42471401095067607
hidden_subtype_to_tcm_like_label,spleen_qi_deficiency_like,1,218,0.15797101449275364,0.9861553943186736,0.42471401095067607
hidden_subtype_to_tcm_like_label,yin_deficiency_like,1,7,0.005072463768115942,0.9861553943186736,0.42471401095067607
hidden_subtype_to_tcm_like_label,damp_heat_like,2,27,0.020454545454545454,1.2255048892197997,0.5277962275912982
hidden_subtype_to_tcm_like_label,liver_qi_stagnation_like,2,71,0.05378787878787879,1.2255048892197997,0.5277962275912982
hidden_subtype_to_tcm_like_label,mixed_pattern_like,2,925,0.7007575757575758,1.2255048892197997,0.5277962275912982
hidden_subtype_to_tcm_like_label,spleen_qi_deficiency_like,2,289,0.21893939393939393,1.2255048892197997,0.5277962275912982
hidden_subtype_to_tcm_like_label,yin_deficiency_like,2,8,0.006060606060606061,1.2255048892197997,0.5277962275912982
